text,section,color
"Stage: First notice of loss","Journey stages","blue"
"Stage: Document upload","Journey stages","blue"
"Stage: Assessment","Journey stages","blue"
"Stage: Decision","Journey stages","blue"
"Stage: Settlement","Journey stages","blue"
"What the customer is doing","Row labels","gray"
"What the customer is feeling","Row labels","gray"
"Systems and teams involved","Row labels","gray"
"Evidence from the pre-read (cite page)","Row labels","yellow"
"Pain points","Row labels","red"
"Opportunities","Row labels","green"
"Open question: where exactly does the 43% drop-off happen? (pre-read p.2)","Seeded stickies","yellow"
"Open question: which time-to-settle definition are we mapping against? (pre-read p.1)","Seeded stickies","yellow"
